ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,14,1,4,0.4,1
2,7,1,4,0.5,1
3,2,1,4,0.5,1
4,1,1,4,1,1
5,2,1,4,0.7,1
6,1,1,4,1,1
7,3,1,4,0.5,1
8,3,2,4,1,1
9,2,1,4,0.4,1
10,2,2,4,0.4,1
11,1,1,4,0.5,1
12,4,2,4,0.4,1
13,4,1,4,0.5,1
14,1,1,4,0.7,1
15,1,1,4,1,1
16,2,1,4,0.5,1
17,5,1,4,0.4,1
18,2,1,4,0.4,1
19,1,1,4,1,1
20,17,3,4,0.4,1
21,2,1,4,0.5,1
22,1,1,4,0.7,1
23,5,3,4,0.4,1
24,3,2,4,0.4,1
25,1,1,4,0.5,1
26,1,1,4,1,1
27,11,4,4,0.4,1
28,3,2,4,0.4,1
29,1,1,4,0.5,1
30,1,1,4,0.6,1
31,3,1,4,0.4,1
32,2,1,4,0.4,1
33,1,1,4,0.5,1
34,1,1,4,0.7,1
35,1,1,4,1,1
36,3,3,4,0.4,1
37,1,1,4,0.5,1
38,5,3,4,0.4,1
39,8,4,4,0.4,1
40,1,1,4,0.7,1
41,2,1,4,0.5,1
42,2,1,4,0.4,1
43,12,4,4,0.4,1
44,1,1,4,0.4,1
45,2,1,4,0.7,1
46,17,4,4,0.4,1
47,4,2,4,0.4,1
48,3,2,4,0.5,1
49,8,3,4,0.4,1
50,3,2,4,0.4,1
51,1,1,4,0.5,1
52,1,1,4,0.7,1
53,2,1,4,0.7,1
54,2,1,4,0.4,1
55,2,1,4,0.5,1
56,2,1,4,0.7,1
57,2,1,4,0.5,1
58,1,1,4,0.7,1
59,3,1,4,0.4,1
60,1,1,4,0.7,1
61,1,1,4,1,1
62,2,1,4,0.4,1
63,1,1,4,0.7,1
64,1,1,4,1,1
65,7,2,4,0.4,1
66,3,1,4,0.7,1
67,2,2,4,0.4,1
68,2,1,4,0.4,1
69,3,1,4,0.5,1
70,2,1,4,0.7,1
71,1,1,4,1,1
72,7,4,4,0.4,1
73,3,2,4,0.4,1
74,1,1,4,1,1
75,2,1,4,0.7,1
76,1,1,4,0.7,1
77,3,2,4,0.4,1
78,5,3,4,0.4,1
79,17,6,4,0.4,1
80,3,1,4,0.4,1
81,1,1,4,0.7,1
82,1,1,4,1,1
83,3,1,4,0.4,1
84,2,1,4,0.4,1
85,2,1,4,0.4,1
86,1,1,4,0.7,1
87,1,1,4,0.7,1
88,2,1,4,0.5,1
89,10,4,4,0.4,1
90,2,1,4,0.4,1
91,3,1,4,0.4,1
92,2,1,4,0.4,1
93,2,1,4,0.5,1
94,3,1,4,0.4,1
95,2,1,4,0.5,1
96,4,1,4,0.4,1
97,3,2,4,0.4,1
98,14,6,4,0.4,1
99,3,2,4,0.4,1
100,1,1,4,1,1
101,1,1,4,1,1
102,2,1,4,1,1
103,3,2,4,0.4,1
104,5,1,4,0.4,1
105,3,1,4,0.4,1
106,2,1,4,0.5,1
107,3,2,4,0.4,1
108,2,1,4,0.4,1
109,9,1,4,0.4,1
110,2,1,4,0.7,1
111,5,3,4,0.4,1
112,6,1,4,0.5,1
113,3,1,4,0.5,1
114,4,1,4,0.7,1
115,1,1,4,1,1
116,1,1,4,0.7,1
117,15,4,4,0.4,1
118,2,1,4,0.5,1
119,4,2,4,0.5,1
120,7,2,4,0.4,1
121,2,1,4,0.5,1
122,2,1,4,0.7,1
123,2,1,4,0.5,1
124,5,1,4,0.4,1
125,4,2,4,0.4,1
126,1,1,4,0.7,1
127,4,2,4,0.4,1
128,1,1,4,0.7,1
129,2,1,4,0.5,1
130,3,2,4,0.4,1
131,3,1,4,0.4,1
132,2,1,4,0.5,1
133,4,1,4,0.4,1
134,2,1,4,0.5,1
135,2,1,4,0.5,1
136,2,1,4,0.7,1
137,2,1,4,0.5,1
138,1,1,4,0.7,1
139,5,3,4,0.4,1
140,1,1,4,0.7,1
141,3,1,4,0.4,1
142,2,1,4,0.4,1
143,3,1,4,0.4,1
144,3,1,4,0.4,1
145,1,1,4,0.5,1
146,1,1,4,1,1
147,2,1,4,0.4,1
148,1,1,4,0.5,1
149,4,1,4,0.4,1
150,2,1,4,0.6,1
151,2,1,4,0.5,1
152,1,1,4,1,1
153,3,1,4,0.5,1
154,4,3,4,0.4,1
155,2,1,4,1,1
156,9,1,4,0.5,1
157,3,1,4,1,1
158,2,1,4,0.5,1
159,8,1,4,0.4,1
160,2,1,4,0.5,1
161,2,1,4,1,1
162,4,1,4,0.5,1
163,2,1,4,1,1
164,6,1,4,0.4,1
