Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,1
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-40,8,10,0.35,0.5,0,2
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,3
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,4
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,5
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,6
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,7
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,8
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,9
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,16,0.35,0.5,0,10
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,25,0.35,0.5,0,11
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,16,0.35,0.5,0,12
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-22,8,16,0.35,0.5,0,13
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-22,8,16,0.35,0.5,0,14
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,15
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,15,0.35,0.5,0,16
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-5,8,20,0.35,0.5,0,17
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,18
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,19
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,20
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,21
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,22
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,23
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,24
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,20,0.35,0.5,0,25
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,15,0.35,0.5,0,26
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,27
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,28
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,29
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-30,8,22,0.35,0.5,0,30
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,22,0.35,0.5,0,31
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,22,0.35,0.5,0,32
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,22,0.35,0.5,0,33
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-32,8,22,0.35,0.5,0,34
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,15,0.35,0.5,0,35
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-32,8,22,0.35,0.5,0,36
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,37
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,38
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,39
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,40
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,41
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,22,0.35,0.5,0,42
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-30,8,22,0.35,0.5,0,43
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-42,8,22,0.35,0.5,0,44
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,22,0.35,0.5,0,45
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-26,8,22,0.35,0.5,0,46
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-44,8,22,0.35,0.5,0,47
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-44,8,22,0.35,0.5,0,48
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-30,8,22,0.35,0.5,0,49
PARALLEL,0.5,0.5,0.5,1.06,1.06,1.06,1.8,1.8,1.8,1,-30,8,22,0.35,0.5,0,50
