Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ID
PARALLEL,0.05,0.05,0.2,0.1,0.1,0.3,0.2,0.2,0.4,1,1,1,0,0.35,0.5,0,0
PARALLEL,,,,,,,0.2,0.2,0.4,1,,,,0.35,0.5,0,1
PARALLEL,,,,,,,0.2,0.2,0.4,1,-28,200,-52,0.35,0.5,0,2
PARALLEL,,,,,,,0.2,0.2,0.4,1,,,,0.35,0.5,0,3
PARALLEL,,,,,,,0.2,0.2,0.4,1,-28,200,-52,0.35,0.5,0,4
PARALLEL,,,,,,,0.2,0.2,0.4,1,,,,0.35,0.5,0,5
PARALLEL,,,,,,,0.2,0.2,0.4,1,-28,200,-52,0.35,0.5,0,6
PARALLEL,,,,,,,0.2,0.2,0.4,1,,,,0.35,0.5,0,7
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,8
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,9
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,10
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,11
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,12
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,13
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,14
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,15
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,16
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,17
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,18
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,19
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,20
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,21
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,22
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,23
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,24
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,25
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,26
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,27
PARALLEL,,,,,,,1,0.9,1.1,1,,,,0.35,0.5,0,28
