ID,ColorR,ColorG,ColorB,BrightpassR,BrightpassG,BrightpassB,Range
0,1,1,1,1,1,1,3
1,1,1.05,0.9,0.1,0.1,0.1,1.7
2,1,1.05,0.9,0.25,0.25,0.25,3
3,1,1.05,0.9,0.25,0.25,0.25,3
4,1,1.05,0.9,0.25,0.25,0.25,3
5,1,1.05,0.9,0.25,0.25,0.25,3
6,1,1.05,0.9,0.25,0.25,0.25,3
7,1,1.05,0.9,0.25,0.25,0.25,3
8,1,1.05,0.9,0.25,0.25,0.25,3
9,1,1.05,0.9,0.25,0.25,0.25,1.5
10,1,1.05,0.9,0.25,0.25,0.25,3
11,1,1.05,0.9,0.25,0.25,0.25,3
12,1,1.05,0.9,0.25,0.25,0.25,1.8
13,1,1.05,0.9,0.25,0.25,0.25,2.8
14,1,1.05,0.9,0.25,0.25,0.25,3
15,1,1.05,0.9,0.25,0.25,0.25,3
16,1,1.05,0.9,0.25,0.25,0.25,3.5
17,1,1.05,0.9,0.25,0.25,0.25,3.5
18,1,1.05,0.9,0.25,0.25,0.25,3
19,1,1.05,0.9,0.25,0.25,0.25,1.8
20,1,1.05,0.9,0.25,0.25,0.25,3.5
21,1,1.05,0.9,0.25,0.25,0.25,3
22,1,1.05,0.9,0.25,0.25,0.25,3.5
23,1,1.05,0.9,0.25,0.25,0.25,3
24,1,1.05,0.9,0.25,0.25,0.25,3
25,1,1.05,0.9,0.25,0.25,0.25,3
26,1,1.05,0.9,0.25,0.25,0.25,3.3
27,1,1.05,0.9,0.25,0.25,0.25,3
28,1,1.05,0.9,0.25,0.25,0.25,2.4
29,1,1.05,0.9,0.25,0.25,0.25,2.2
30,1,1.05,0.9,0.25,0.25,0.25,3
31,1,1.05,0.9,0.25,0.25,0.25,2
32,1,1.05,0.9,0.25,0.25,0.25,2
33,1,1.05,0.9,0.25,0.25,0.25,2
34,1,1.05,0.9,0.25,0.25,0.25,2
35,1,1.05,0.9,0.25,0.25,0.25,2.6
36,1,1.05,0.9,0.25,0.25,0.25,4
37,1,1,1,1,1,1,3
38,1,1,1,1,1,1,3
39,1,1,1,1,1,1,3
40,1,1,1,1,1,1,3
41,1,1,1,1,1,1,3
42,1,1,1,1,1,1,3
43,1,1,1,1,1,1,3
44,1,1,1,1,1,1,3
45,1,1,1,1,1,1,3
46,1,1,1,1,1,1,3
47,1,1,1,1,1,1,3
48,1,1,1,1,1,1,3
49,1,1,1,1,1,1,3
50,1,1,1,1,1,1,3
51,1,1,1,1,1,1,3
52,1,1,1,1,1,1,3
53,1,1,1,1,1,1,3
54,1,1,1,1,1,1,3
55,1,1,1,1,1,1,3
56,1,1,1,1,1,1,3
57,1,1,1,1,1,1,3
58,1,1,1,1,1,1,3
59,1,1,1,1,1,1,3
60,1,1,1,1,1,1,3
61,1,1,1,1,1,1,3
62,1,1,1,1,1,1,3
63,1,1,1,1,1,1,3
64,1,1,1,1,1,1,3
65,1,1,1,1,1,1,3
66,1,1,1,1,1,1,3
67,1,1,1,1,1,1,3
68,1,1,1,1,1,1,3
69,1,1,1,1,1,1,3
70,1,1,1,1,1,1,3
71,1,1,1,1,1,1,3
72,1,1,1,1,1,1,3
73,1,1,1,1,1,1,3
74,1,1,1,1,1,1,3
75,1,1,1,1,1,1,3
76,1,1,1,1,1,1,3
77,1,1,1,1,1,1,3
78,1,1,1,1,1,1,3
79,1,1,1,1,1,1,3
80,1,1,1,1,1,1,3
81,1,1,1,1,1,1,3
82,1,1,1,1,1,1,3
83,1,1,1,1,1,1,3
84,1,1,1,1,1,1,3
85,1,1,1,1,1,1,3
86,1,1,1,1,1,1,3
87,1,1,1,1,1,1,3
88,1,1,1,1,1,1,3
89,1,1,1,1,1,1,3
90,1,1,1,0.1,0.1,0.1,3
91,1,1,1,1,1,1,3
92,1,1,1,1,1,1,3
93,1,1,1,1,1,1,3
94,1,1,1,1,1,1,3
95,1,1,1,1,1,1,3
96,1,1,1,1,1,1,3
97,1,1,1,1,1,1,3
98,1,1,1,1,1,1,3
99,1,1,1,1,1,1,3
100,1,1,1,-0.5,-0.5,-0.5,4
101,1,1,1,1,1,1,3
102,1,1,1,1,1,1,3
103,1,1,1,1,1,1,3
104,1,1,1,1,1,1,3
105,1,1,1,1,1,1,3
106,1,1,1,1,1,1,3
107,1,1,1,1,1,1,3
108,1,1,1,1,1,1,3
109,1,1,1,1,1,1,3
110,1,1,1,1,1,1,3
