ID,Hue,Saturation,Lightness,Exposure,GammaR,GammaG,GammaB,Contrast
0,0,1,1,1,2,2,2,-0.5
1,0,1,1,1,2,2,2,-0.5
2,0,1,1,1,2,2,2,-0.5
3,0,1,1,1,2,2,2,-0.5
4,0,1,1,1.1,2.5,2,2,-0.3
5,0,1,1,1.1,2.5,2,2,-0.3
6,0,1,1,1.1,2,2,2.5,-0.3
7,0,1,1,1.1,2,2,2.5,-0.3
8,0,1,1,1.1,2.5,2.5,2,-0.3
9,0,1,1,1.1,2.5,2.5,2,-0.3
10,0,1,1,1.1,2,2.5,2,-0.3
11,0,1,1,1.1,2,2.5,2,-0.3
12,0,1,1,1.1,2.5,2,2.5,-0.3
13,0,1,1,1.1,2.5,2,2.5,-0.3
14,0,1,1,1.1,2.5,2.25,2,-0.3
15,0,1,1,1.1,2.5,2.25,2,-0.3
16,0,1,1,1,2,1.9,1.8,-0.5
17,0,1,1,1.1,2,2,2.2,-0.2
18,0,1,1,1,2,1.9,1.8,-0.5
19,0,1,1,1.1,2,2,2.2,-0.2
20,0,1,1,1.1,1.9,2,2,-0.3
21,0,0,0,0,0,0,0,0
