Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,?R?????g
PARALLEL,0,0,0.1,1,0.9,0.9,1,1,0.9,0.9,1.2,1,1.5,2.8,2,0,0
PARALLEL,0,0.1,0.1,1,0.49,0.5,0.6,1,0.6,0.65,0.9,1,10,8,10,0,1
PARALLEL,0,0,0,1,1,0.9,1.05,1,1.1,0.9,1.2,1,9.050243,2.454243,3.47425,0,2
PARALLEL,0.2,0.2,0.2,1,0.7,0.75,0.9,1,0.9,0.75,1,1,10,8,17.299999,0,3
PARALLEL,0.3,0,0,1,1,0.75,0.9,1,1.2,1.05,1,0.76,10,8,17.299999,0,4
PARALLEL,0.3,0,0,1,1,0.75,0.9,1,1.2,1.05,1,0.76,10,8,17.299999,0,5
PARALLEL,0,0,0,1,0.8,0.85,1.2,1,1.1,1.05,1.2,1,10,8,17.299999,0,6
PARALLEL,0,0,0,1,0.8,0.85,1.2,1,1.1,1.05,1.2,1,10,8,17.299999,0,7
PARALLEL,0,0,0,1,0.95,0.95,0.9,1,1.1,1.05,1.2,1,10,8,17.299999,0,8
PARALLEL,0.2,0.2,0,1,0.75,0.75,0.7,1,1.1,1.05,1.2,1,1.5,2.8,2,0,9
PARALLEL,0,0.2,0,1,0.9,0.95,1,1,1.1,1.05,1.2,1,17.299999,8,10,0,10
PARALLEL,0,0.2,0,1,0.9,0.95,1,1,1.1,1.05,1.2,1,17.299999,8,10,0,11
PARALLEL,0.2,0,0.2,1,1,0.95,1,1,1.1,1.05,1.2,1,10,8,17.299999,0,12
PARALLEL,0.2,0,0.2,1,0.8,0.75,0.8,1,1.2,1.05,1.3,1,1.5,2.8,2,0,13
PARALLEL,0.2,0.1,0,1,0.9,0.85,0.8,1,1.1,1.05,1.2,1,10,8,10,0,14
PARALLEL,0.2,0.1,0,1,0.8,0.75,0.7,1,1.1,1.05,1.2,1,1.5,2.8,2,0,15
PARALLEL,0,0,0.1,1,0.9,0.9,1,1,0.9,0.9,1.2,1,0,36,-6,0,16
PARALLEL,0,0.1,0.1,1,0.49,0.5,0.6,1,0.6,0.65,0.9,1,0,36,-6,0,17
PARALLEL,0,0,0.1,1,0.9,0.9,1,1,0.9,0.9,1.2,1,0,36,-6,0,18
PARALLEL,0,0.1,0.1,1,0.49,0.5,0.6,1,0.6,0.65,0.9,1,0,36,-6,0,19
PARALLEL,0,0,0,1,0.85,0.9,0.9,1,0.85,0.9,0.9,1,-29,40,27,0,20
PARALLEL,0,0,0,1,0.9,0.85,1,1,1.1,1.05,1.2,1,0,36,-6,0,21
